codigoibge;nome;1_PNBL_PRESTADORES_FIXA;22_PGMU_TEL_PUBLICOS
1100015;Alta Floresta D'Oeste;9;108
1100023;Ariquemes;11;419
1100031;Cabixi;4;28
1100049;Cacoal;11;349
1100056;Cerejeiras;8;72
1100064;Colorado do Oeste;5;76
1100072;Corumbiara;2;36
1100080;Costa Marques;5;68
1100098;Espigão D'Oeste;8;137
1100106;Guajará-Mirim;7;190
1100114;Jaru;7;223
1100122;Ji-Paraná;14;518
1100130;Machadinho D'Oeste;7;149
1100148;Nova Brasilândia D'Oeste;7;86
1100155;Ouro Preto do Oeste;8;160
1100189;Pimenta Bueno;6;163
1100205;Porto Velho;16;1989
1100254;Presidente Médici;7;91
1100262;Rio Crespo;3;16
1100288;Rolim de Moura;10;225
1100296;Santa Luzia D'Oeste;6;35
1100304;Vilhena;9;352
1100320;São Miguel do Guaporé;7;95
1100338;Nova Mamoré;4;109
1100346;Alvorada D'Oeste;6;69
1100379;Alto Alegre dos Parecis;6;57
1100403;Alto Paraíso;5;81
1100452;Buritis;8;149
1100502;Novo Horizonte do Oeste;5;42
1100601;Cacaulândia;5;25
1100700;Campo Novo de Rondônia;5;57
1100809;Candeias do Jamari;5;94
1100908;Castanheiras;2;15
1100924;Chupinguaia;4;40
1100940;Cujubim;5;79
1101005;Governador Jorge Teixeira;4;42
1101104;Itapuã do Oeste;2;40
1101203;Ministro Andreazza;4;44
1101302;Mirante da Serra;4;50
1101401;Monte Negro;4;64
1101435;Nova União;3;32
1101450;Parecis;2;22
1101468;Pimenteiras do Oeste;3;15
1101476;Primavera de Rondônia;2;15
1101484;São Felipe D'Oeste;5;25
1101492;São Francisco do Guaporé;5;77
1101500;Seringueiras;6;51
1101559;Teixeirópolis;3;20
1101609;Theobroma;2;47
1101708;Urupá;5;54
1101757;Vale do Anari;4;42
1101807;Vale do Paraíso;3;33
1200013;Acrelândia;5;53
1200054;Assis Brasil;5;30
1200104;Brasiléia;5;97
1200138;Bujari;4;38
1200179;Capixaba;4;42
1200203;Cruzeiro do Sul;9;326
1200252;Epitaciolândia;6;67
1200302;Feijó;3;140
1200328;Jordão;4;32
1200336;Mâncio Lima;6;71
1200344;Manoel Urbano;3;38
1200351;Marechal Thaumaturgo;4;69
1200385;Plácido de Castro;5;59
1200393;Porto Walter;2;43
1200401;Rio Branco;13;1453
1200427;Rodrigues Alves;3;73
1200435;Santa Rosa do Purus;4;25
1200450;Senador Guiomard;5;107
1200500;Sena Madureira;5;183
1200609;Tarauacá;6;176
1200708;Xapuri;6;71
1200807;Porto Acre;3;66
1300029;Alvarães;4;68
1300060;Amaturá;5;44
1300086;Anamã;4;49
1300102;Anori;4;77
1300144;Apuí;5;81
1300201;Atalaia do Norte;6;85
1300300;Autazes;4;153
1300409;Barcelos;4;122
1300508;Barreirinha;4;122
1300607;Benjamin Constant;5;163
1300631;Beruri;4;83
1300680;Boa Vista do Ramos;4;69
1300706;Boca do Acre;4;135
1300805;Borba;4;162
1300839;Caapiranga;4;49
1300904;Canutama;5;66
1301001;Carauari;4;132
1301100;Careiro;5;143
1301159;Careiro da Várzea;4;113
1301209;Coari;5;337
1301308;Codajás;4;104
1301407;Eirunepé;5;145
1301506;Envira;4;84
1301605;Fonte Boa;4;108
1301654;Guajará;5;63
1301704;Humaitá;6;225
